18:15:03.240 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.revature.UserControllerTest], using SpringBootContextLoader
18:15:03.249 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.revature.UserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
18:15:03.250 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.revature.UserControllerTest]: UserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
18:15:03.439 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.revature.AlchemyApplication for test class com.revature.UserControllerTest
18:15:03.658 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
18:15:03.681 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e044120, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2cf23c81, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3624da92, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@35fe2125, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@94f6bfb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@34645867, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2484f433, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@60b71e8f, org.springframework.test.context.event.EventPublishingTestExecutionListener@1255b1d1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@464649c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7c22d4f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5f59185e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@60bdf15d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@47da3952, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@51e4ccb3]
18:15:04.081 [main] INFO  com.revature.UserControllerTest - Starting UserControllerTest using Java 15 on GWTN156-7 with PID 17128 (started by luisc in C:\Users\luisc\Desktop\Revature\Demosrepo\P2\AlchemyProject\AlchemistRoom)
18:15:04.082 [main] INFO  com.revature.UserControllerTest - No active profile set, falling back to 1 default profile: "default"
18:15:05.621 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
18:15:05.744 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 112 ms. Found 3 JPA repository interfaces.
18:15:06.781 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
